broadcast_id,live_name,date,start_time,end_time,duration_min,viewer_count,promotion_flag,promotion_text,url
1713196,[푸드위크] 추석 라스트 특가! 내일 도착보장 LIVE🚀,2025-09-29,09:59:20,11:38:07,98,425307,0,,https://view.shoppinglive.naver.com/replays/1713196
1742269,[덴프스] 추석 특선물 앵콜 LIVE🎁 최대 혜택 준비 완료!,2025-09-23,18:59:17,20:09:58,70,101613,0,,https://view.shoppinglive.naver.com/replays/1742269
1713194,[블루밍데이즈][푸드위크] 추석 특선물! 스페셜 혜택 총집합 LIVE,2025-09-23,09:59:19,11:38:40,99,414913,0,,https://view.shoppinglive.naver.com/replays/1713194
1713193,[덴프스] 한가위 건강 선물대전🎁,2025-09-16,09:59:42,11:39:48,100,445324,0,,https://view.shoppinglive.naver.com/replays/1713193
1713192,[덴프스] 🎁추석 얼리버드! 풍성한 더블혜택 LIVE,2025-09-09,09:59:31,11:37:39,98,432609,0,,https://view.shoppinglive.naver.com/replays/1713192
1713190,[덴프스] 저녁 보너스 라이브! 🎉슈퍼 브랜드데이 특집🎉,2025-09-03,18:59:43,20:40:28,100,460342,0,,https://view.shoppinglive.naver.com/replays/1713190
1713188,[덴프스] 4개월 만에 돌아온 🎉슈퍼 브랜드데이 특집🎉,2025-09-03,09:59:16,11:59:20,120,472740,0,,https://view.shoppinglive.naver.com/replays/1713188
1698954,[덴프스]🔥강세일 앵콜혜택! 최강세일 LIVE,2025-08-26,09:59:34,11:39:15,99,451023,0,,https://view.shoppinglive.naver.com/replays/1698954
1698953,[덴프스]🎉저녁 보너스! 강세일 중 최강혜택 LIVE👍,2025-08-19,18:59:05,20:42:56,103,492196,0,,https://view.shoppinglive.naver.com/replays/1698953
1689200,[덴프스]🎉강세일 혜택 총 출동! 최강세일 LIVE,2025-08-19,09:59:20,12:00:53,121,459503,0,,https://view.shoppinglive.naver.com/replays/1689200
1689198,[블루밍데이즈]🔥유산균 리뷰 20만✨ 달성 기념 빅 라이브!,2025-08-12,09:59:41,11:38:57,99,446791,0,,https://view.shoppinglive.naver.com/replays/1689198
1689197,[덴프스]🎉유산균 9종 라인업 완성 기념 LIVE🔥,2025-08-04,09:59:33,11:37:59,98,428277,0,,https://view.shoppinglive.naver.com/replays/1689197
1676359,[덴프스]🎉스테디셀러 총 집합! 메가혜택 LIVE,2025-07-22,09:59:46,11:41:03,101,453314,0,,https://view.shoppinglive.naver.com/replays/1676359
1658856,[블루밍데이즈] 🎉썸머마켓  라이브 ~72%  핫딜⚡,2025-07-15,09:59:36,11:38:33,98,460876,0,,https://view.shoppinglive.naver.com/replays/1658856
1658855,[베스트 어워즈] 7/9 7월 베스트셀러 특집,2025-07-09,09:59:41,11:41:05,101,442947,0,,https://view.shoppinglive.naver.com/replays/1658855
1651075,[덴프스]🎉저녁 보너스! 강세일 중 최강혜택 LIVE👍,2025-07-03,18:59:45,20:40:27,100,461061,0,,https://view.shoppinglive.naver.com/replays/1651075
1651072,[덴프스]🎉강세일 중 최강혜택👍 최강세일 LIVE,2025-07-03,09:59:40,11:59:44,120,574334,0,,https://view.shoppinglive.naver.com/replays/1651072
1651071,[덴프스] 🌈라운지 13만 돌파 기념 라이브🎁,2025-06-25,09:59:44,11:38:46,99,442907,0,,https://view.shoppinglive.naver.com/replays/1651071
1651068,[덴프스]  🎉42만 돌파 기념! 고객 감사 특가💕,2025-06-17,18:59:47,20:08:53,69,239036,0,,https://view.shoppinglive.naver.com/replays/1651068
1651067,[덴프스] 고객 42만 돌파! 🎉고객 감사 특가 라이브💕,2025-06-17,09:59:55,11:34:17,94,456233,0,,https://view.shoppinglive.naver.com/replays/1651067
1642131,덴프스 헬시페스타 LIVE🎊,2025-06-10,09:59:42,11:42:25,102,315148,0,,https://view.shoppinglive.naver.com/replays/1642131
1636001,[블루밍데이즈]덴프스 상반기 베스트 어워즈 LIVE🌟,2025-06-04,09:59:43,11:38:52,99,417436,0,,https://view.shoppinglive.naver.com/replays/1636001
1616157,장바구니 페스타 LIVE🎊,2025-05-28,09:59:44,11:37:58,98,637761,0,,https://view.shoppinglive.naver.com/replays/1616157
1616156,5월 빅세일 저녁 보너스 LIVE 🎊,2025-05-21,19:59:50,21:35:28,95,158784,0,,https://view.shoppinglive.naver.com/replays/1616156
1616154,5월 최대 혜택 빅세일 LIVE❤️,2025-05-21,09:59:45,12:00:42,120,433024,0,,https://view.shoppinglive.naver.com/replays/1616154
1616153,🎉[블루밍데이즈] 💸페이백 특집 LIVE💸,2025-05-13,09:59:56,11:59:59,120,433689,0,,https://view.shoppinglive.naver.com/replays/1616153
1601312,[덴프스] 🎁가정의 달 특선물 孝특집 라이브🎁,2025-05-08,09:59:49,11:43:17,103,400782,0,,https://view.shoppinglive.naver.com/replays/1601312
1622784,[덴프스] 🎉브랜드데이 베스트셀러 라이브 특가쇼🎉,2025-05-02,19:59:46,21:36:38,96,163750,0,,https://view.shoppinglive.naver.com/replays/1622784
1592857,[덴프스] 🎉브랜드데이 베스트셀러 라이브 특가쇼🎉,2025-05-02,09:59:50,11:59:54,120,161706,0,,https://view.shoppinglive.naver.com/replays/1592857
1592856,저녁 보너스! ❤️‍🔥가정의 달 특선물❤️‍🔥 최대 라이브 혜택전🎉,2025-04-23,19:59:49,21:46:09,106,136384,0,,https://view.shoppinglive.naver.com/replays/1592856
1592855,❤️‍🔥가정의 달 특선물❤️‍🔥 최대 라이브 혜택전🎉,2025-04-23,09:59:57,12:00:30,120,169606,0,,https://view.shoppinglive.naver.com/replays/1592855
