live_code,live_name,live_url
LL_046,종근당건강 26주년 페스타! 구찌백🎀사은품 증정,https://view.shoppinglive.naver.com/replays/375527?fm=shoppinglive&sn=home
LL_047,[락토핏 골드30포 추가증정!] 40%혜택 100%경품,https://view.shoppinglive.naver.com/replays/269632?fm=shoppinglive&sn=home
LL_048,[최대 30%🎉랜선키즈SHOW!🎈],https://view.shoppinglive.naver.com/replays/405024?fm=shoppinglive&sn=home
LL_049,종근당건강 추석선물대첩🎁도착보장🚛,https://view.shoppinglive.naver.com/replays/1089561?fm=shoppinglive&sn=home
LL_050,종근당건강 BIG브랜드데이🔥한정특가🔥,https://view.shoppinglive.naver.com/replays/1603633?fm=shoppinglive&sn=home
LL_051,종근당건강 브랜드데이+선착순 굿즈 증정🎁,https://view.shoppinglive.naver.com/replays/1354692?fm=shoppinglive&sn=home
LL_052,종근당건강 🔥브랜드데이 ~55%🔥라이브중에만 추가혜택!,https://view.shoppinglive.naver.com/replays/1649916?fm=shoppinglive&sn=home
LL_053,종근당건강 락토핏x쇼핑Live💖,https://view.shoppinglive.naver.com/replays/1600025?fm=shoppinglive&sn=home
LL_054,[UP TO 30%] 💙아이클리어 신상 론칭쇼!,https://view.shoppinglive.naver.com/replays/544178?fm=shoppinglive&sn=home
LL_055,락토핏 리뉴얼🎉론칭쇼!🏃,https://view.shoppinglive.naver.com/replays/681066?fm=shoppinglive&sn=home
LL_056,종근당건강 🔥브랜드데이 ~51%🔥특선물 마지막찬스!,https://view.shoppinglive.naver.com/replays/1624741?fm=shoppinglive&sn=home
LL_057,종근당건강X네이버 가정의달 선물대첩ㅣ100%경품응모!,https://view.shoppinglive.naver.com/replays/495273?fm=shoppinglive&sn=home
LL_058,종근당건강 올해 마지막💥라이브특가💥,https://view.shoppinglive.naver.com/replays/1183615?fm=shoppinglive&sn=home
LL_059,종근당건강📢명절 전💥마지막 혜택💥,https://view.shoppinglive.naver.com/replays/1431637?fm=shoppinglive&sn=home
LL_060,종근당건강 🔥브랜드데이 ~55%🔥라이브중에만 1개월분 추가증정!,https://view.shoppinglive.naver.com/replays/1698425?fm=shoppinglive&sn=home
LL_061,종근당건강🤍새해맞이 라이브 특가🤍,https://view.shoppinglive.naver.com/replays/1208387?fm=shoppinglive&sn=home
LL_062,[최대51%] 종근당건강 라이브 쿠폰팩 증정!✨,https://view.shoppinglive.naver.com/replays/1639534?fm=shoppinglive&sn=home
LL_063,종근당건강 브랜드데이! BIG SALE🎉,https://view.shoppinglive.naver.com/replays/491793?fm=shoppinglive&sn=home
LL_064,종근당건강 BIG브랜드데이🔥라이브중 한정특가🔥,https://view.shoppinglive.naver.com/replays/1716517?fm=shoppinglive&sn=home
LL_065,종근당건강 가정의달 선물대첩🎁💖 N도착보장!🚛,https://view.shoppinglive.naver.com/replays/928831?fm=shoppinglive&sn=home
LL_066,[한국축구 응원해요] 종근당건강 브랜드데이 1시간 특가,https://view.shoppinglive.naver.com/replays/708702?fm=shoppinglive&sn=home
LL_067,"종근당건강, 17일 단 1시간! 다신 없을 반값 혜택!",https://view.shoppinglive.naver.com/replays/586933?fm=shoppinglive&sn=home
LL_068,"국민 유산균의 통 큰 혜택! 락토핏 9,900원!",https://view.shoppinglive.naver.com/replays/885413?fm=shoppinglive&sn=home
LL_069,"5월 가정의달, 건강선물 FESTA!",https://view.shoppinglive.naver.com/replays/117242?fm=shoppinglive&sn=home
LL_070,빠른배송WEEK! 파격세일✔오늘주문하면 오늘출발!🚚,https://view.shoppinglive.naver.com/replays/502774?fm=shoppinglive&sn=home
LL_071,✨종근당건강 라이브특가✨쿠폰+사은품 역대급혜택⚡,https://view.shoppinglive.naver.com/replays/1562674?fm=shoppinglive&sn=home
LL_072,10/17 종근당건강 라이브,https://view.shoppinglive.naver.com/lives/1747964?fm=shoppinglive&sn=home
LL_073,"""락토핏,프로메가 추석 건강선물세트""~45% 파격세일!",https://view.shoppinglive.naver.com/replays/227685?fm=shoppinglive&sn=home
LL_074,종근당건강 가정의달 선물대첩🎁키링 100% 증정,https://view.shoppinglive.naver.com/replays/1301214?fm=shoppinglive&sn=home
