brand,date,search_volume_abs,avg_rating,daily_review_count,live_code,duration_min,viewer_count,promotion_flag
락토핏,2019-05-01,4888.422074039312,,,,,,
락토핏,2019-05-02,5075.598300469532,,,,,,
락토핏,2019-05-03,4002.453905696254,,,,,,
락토핏,2019-05-04,3359.8153541424963,,,,,,
락토핏,2019-05-05,4286.337152542063,,,,,,
락토핏,2019-05-06,7119.979278782943,,,,,,
락토핏,2019-05-07,5616.329040790145,,,,,,
락토핏,2019-05-08,5896.05374470198,,,,,,
락토핏,2019-05-09,5306.449676306824,,,,,,
락토핏,2019-05-10,4340.411271434159,,,,,,
락토핏,2019-05-11,6065.553551512721,,,,,,
락토핏,2019-05-12,6512.6961786182255,,,,,,
락토핏,2019-05-13,6601.086113165867,,,,,,
락토핏,2019-05-14,6047.874519743159,,,,,,
락토핏,2019-05-15,5188.942104771107,,,,,,
락토핏,2019-05-16,5746.312241127787,,,,,,
락토핏,2019-05-17,5796.227817085907,,,,,,
락토핏,2019-05-18,3902.625365930098,,,,,,
락토핏,2019-05-19,5680.802129167262,,,,,,
락토핏,2019-05-20,6075.952520997742,,,,,,
락토핏,2019-05-21,6063.471667895649,,,,,,
락토핏,2019-05-22,5711.996425472242,,,,,,
락토핏,2019-05-23,5384.438029219359,,,,,,
락토핏,2019-05-24,4242.662003134989,,,,,,
락토핏,2019-05-25,4811.470744710186,,,,,,
락토핏,2019-05-26,4398.643933260229,,,,,,
락토핏,2019-05-27,5723.435030690757,,,,,,
락토핏,2019-05-28,5988.602222183596,,,,,,
락토핏,2019-05-29,5045.441027747961,,,,,,
락토핏,2019-05-30,6538.692296255736,,,,,,
락토핏,2019-05-31,5326.205367393289,,,,,,
락토핏,2019-06-01,4332.091573416124,,,,,,
락토핏,2019-06-02,5054.800361499488,,,,,,
락토핏,2019-06-03,5780.628056783334,,,,,,
락토핏,2019-06-04,8650.665270146746,,,,,,
락토핏,2019-06-05,5630.886553209141,,,,,,
락토핏,2019-06-06,5004.887397691452,,,,,,
락토핏,2019-06-07,4559.824042052936,,,,,,
락토핏,2019-06-08,4805.232930309225,,,,,,
락토핏,2019-06-09,4994.48842820643,,,,,,
락토핏,2019-06-10,6032.27737159067,,,,,,
락토핏,2019-06-11,6002.120098869098,,,,,,
락토핏,2019-06-12,5545.618138012066,,,,,,
락토핏,2019-06-13,5585.13213233508,,,,,,
락토핏,2019-06-14,4287.376788275557,,,,,,
락토핏,2019-06-15,4483.912348457304,,,,,,
락토핏,2019-06-16,5844.061509426957,,,,,,
락토핏,2019-06-17,5873.176534264949,,,,,,
락토핏,2019-06-18,5710.956789738749,,,,,,
락토핏,2019-06-19,5690.158850768705,,,,,,
락토핏,2019-06-20,6254.809049409928,,,,,,
락토핏,2019-06-21,4489.1105271247725,,,,,,
락토핏,2019-06-22,4885.300554688747,,,,,,
락토핏,2019-06-23,4044.047171486256,,,,,,
락토핏,2019-06-24,5259.655619699269,,,,,,
락토핏,2019-06-25,6107.146817302723,,,,,,
락토핏,2019-06-26,5485.306204719008,,,,,,
락토핏,2019-06-27,4490.152775008351,,,,,,
락토핏,2019-06-28,3690.492657595861,,,,,,
락토핏,2019-06-29,3560.5094572582184,,,,,,
락토핏,2019-06-30,6265.208018894949,,,,,,
락토핏,2019-07-01,5962.606104546083,,,,,,
락토핏,2019-07-02,5863.817200513421,,,,,,
락토핏,2019-07-03,6097.787483551195,,,,,,
락토핏,2019-07-04,4881.142011754772,,,,,,
락토핏,2019-07-05,4175.072619707476,,,,,,
락토핏,2019-07-06,4687.725358773507,,,,,,
락토핏,2019-07-07,4532.785676531846,,,,,,
락토핏,2019-07-08,5419.793480608399,,,,,,
락토핏,2019-07-09,5887.734046683945,,,,,,
락토핏,2019-07-10,5027.764608128483,,,,,,
락토핏,2019-07-11,6320.319161370453,,,,,,
락토핏,2019-07-12,4137.635284701365,,,,,,
락토핏,2019-07-13,4493.271682208831,,,,,,
락토핏,2019-07-14,4884.260918955253,,,,,,
락토핏,2019-07-15,5629.846917475648,,,,,,
락토핏,2019-07-16,5759.83011781329,,,,,,
락토핏,2019-07-17,5278.371675052241,,,,,,
락토핏,2019-07-18,5964.685376013071,,,,,,
락토핏,2019-07-19,4029.4896590672593,,,,,,
락토핏,2019-07-20,4595.179493441975,,,,,,
락토핏,2019-07-21,4405.921383394684,,,,,,
락토핏,2019-07-22,5870.057627064468,,,,,,
락토핏,2019-07-23,5254.454828881716,,,,,,
락토핏,2019-07-24,4770.917114653679,,,,,,
락토핏,2019-07-25,4734.522027531146,,,,,,
락토핏,2019-07-26,4109.559895596866,,,,,,
락토핏,2019-07-27,3671.773990092805,,,,,,
락토핏,2019-07-28,4087.722320893329,,,,,,
락토핏,2019-07-29,5256.534100348704,,,,,,
락토핏,2019-07-30,4541.10537454988,,,,,,
락토핏,2019-07-31,4587.899431157435,,,,,,
락토핏,2019-08-01,4699.163963992022,,,,,,
락토핏,2019-08-02,4744.918384866083,,,,,,
락토핏,2019-08-03,3746.6460479549432,,,,,,
락토핏,2019-08-04,4428.798593831715,,,,,,
락토핏,2019-08-05,5123.43199281058,,,,,,
락토핏,2019-08-06,5495.70517420403,,,,,,
락토핏,2019-08-07,5598.652621170667,,,,,,
락토핏,2019-08-08,6237.130017640365,,,,,,
락토핏,2019-08-09,4570.220399387873,,,,,,
락토핏,2019-08-10,4896.739159907262,,,,,,
락토핏,2019-08-11,5481.147661785034,,,,,,
락토핏,2019-08-12,6104.027910102242,,,,,,
락토핏,2019-08-13,5985.483314983115,,,,,,
락토핏,2019-08-14,5168.146777951147,,,,,,
락토핏,2019-08-15,6055.1545820277,,,,,,
락토핏,2019-08-16,4883.221283221759,,,,,,
락토핏,2019-08-17,5570.574619916084,,,,,,
락토핏,2019-08-18,5203.502229340187,,,,,,
락토핏,2019-08-19,6088.430761949751,,,,,,
락토핏,2019-08-20,6537.652660522243,,,,,,
락토핏,2019-08-21,7097.102068345912,,,,,,
락토핏,2019-08-22,6550.130901474252,,,,,,
락토핏,2019-08-23,5644.407042044729,,,,,,
락토핏,2019-08-24,5156.708172732632,,,,,,
락토핏,2019-08-25,5282.530217986215,,,,,,
락토핏,2019-08-26,8916.872097373078,,,,,,
락토핏,2019-08-27,9183.078924599413,,,,,,
락토핏,2019-08-28,8723.458056541896,,,,,,
락토핏,2019-08-29,8531.081039294126,,,,,,
락토핏,2019-08-30,8482.207711219582,,,,,,
락토핏,2019-08-31,6525.174419570234,,,,,,
락토핏,2019-09-01,8696.419691020807,,,,,,
락토핏,2019-09-02,8590.353336853688,,,,,,
락토핏,2019-09-03,8411.496808441505,,,,,,
락토핏,2019-09-04,9017.740272872728,,,,,,
락토핏,2019-09-05,7783.415769306744,,,,,,
락토핏,2019-09-06,6222.572505221369,,,,,,
락토핏,2019-09-07,6433.665577822112,,,,,,
락토핏,2019-09-08,6284.963709981415,,,,,,
락토핏,2019-09-09,7149.09691577102,,,,,,
락토핏,2019-09-10,5347.003306363333,,,,,,
락토핏,2019-09-11,4589.978702624423,,,,,,
락토핏,2019-09-12,4543.184646016868,,,,,,
락토핏,2019-09-13,4490.152775008351,,,,,,
락토핏,2019-09-14,6069.712094446696,,,,,,
락토핏,2019-09-15,6072.831001647177,,,,,,
락토핏,2019-09-16,8038.18399131456,,,,,,
락토핏,2019-09-17,7412.182223646786,,,,,,
락토핏,2019-09-18,7239.5635096355645,,,,,,
락토핏,2019-09-19,7236.444602435083,,,,,,
락토핏,2019-09-20,5500.903352871499,,,,,,
락토핏,2019-09-21,5638.166615493681,,,,,,
락토핏,2019-09-22,6551.170537207746,,,,,,
락토핏,2019-09-23,6115.466515320757,,,,,,
락토핏,2019-09-24,6637.481200288399,,,,,,
락토핏,2019-09-25,6631.240773737352,,,,,,
락토핏,2019-09-26,6222.572505221369,,,,,,
락토핏,2019-09-27,5299.169614022283,,,,,,
락토핏,2019-09-28,4182.350069841933,,,,,,
락토핏,2019-09-29,5490.5043833864775,,,,,,
락토핏,2019-09-30,6082.190335398705,,,,,,
락토핏,2019-10-01,6209.054628535866,,,,,,
락토핏,2019-10-02,6972.317046675738,,,,,,
락토핏,2019-10-03,5535.2191685270445,,,,,,
락토핏,2019-10-04,4968.49231056892,,,,,,
락토핏,2019-10-05,4461.035138020273,,,,,,
락토핏,2019-10-06,5155.668536999138,,,,,,
락토핏,2019-10-07,6193.457480383377,,,,,,
락토핏,2019-10-08,5524.820199042023,,,,,,
락토핏,2019-10-09,5095.353991555997,,,,,,
락토핏,2019-10-10,5339.723244078792,,,,,,
락토핏,2019-10-11,4966.410426951848,,,,,,
락토핏,2019-10-12,5339.723244078792,,,,,,
락토핏,2019-10-13,6086.348878332679,,,,,,
락토핏,2019-10-14,6316.160618436478,,,,,,
락토핏,2019-10-15,5916.851683672023,,,,,,
락토핏,2019-10-16,5916.851683672023,,,,,,
락토핏,2019-10-17,5401.0774252554265,,,,,,
락토핏,2019-10-18,4665.890396220054,,,,,,
락토핏,2019-10-19,5202.462593606692,,,,,,
락토핏,2019-10-20,5328.284638860277,,,,,,
락토핏,2019-10-21,6213.213171469842,,,,,,
락토핏,2019-10-22,5785.828847600887,,,,,,
락토핏,2019-10-23,5501.942988604992,,,,,,
락토핏,2019-10-24,6930.723780885736,,,,,,
락토핏,2019-10-25,4946.654735865383,,,,,,
락토핏,2019-10-26,5565.376441248615,,,,,,
락토핏,2019-10-27,5583.052860868093,,,,,,
락토핏,2019-10-28,6392.07231203211,,,,,,
락토핏,2019-10-29,6205.935721335385,,,,,,
락토핏,2019-10-30,5776.469513849358,,,,,,
락토핏,2019-10-31,5479.065778167962,,,,,,
락토핏,2019-11-01,5641.285522694163,,,,,,
락토핏,2019-11-02,4823.948985662196,,,,,,
락토핏,2019-11-03,5470.748692300012,,,,,,
락토핏,2019-11-04,6107.146817302723,,,,,,
락토핏,2019-11-05,7162.614792456523,,,,,,
락토핏,2019-11-06,6407.6694601846,,,,,,
락토핏,2019-11-07,6003.159734602592,,,,,,
락토핏,2019-11-08,4952.892550266344,,,,,,
락토핏,2019-11-09,4777.154929054641,,,,,,
락토핏,2019-11-10,5643.36479416115,,,,,,
락토핏,2019-11-11,6785.14082024552,,,,,,
락토핏,2019-11-12,6577.169266995342,,,,,,
락토핏,2019-11-13,5757.750846346304,,,,,,
락토핏,2019-11-14,5207.660772274161,,,,,,
락토핏,2019-11-15,4576.46082593892,,,,,,
락토핏,2019-11-16,4961.212248284379,,,,,,
락토핏,2019-11-17,6401.429033633554,,,,,,
락토핏,2019-11-18,5736.95290737626,,,,,,
락토핏,2019-11-19,6121.70432972172,,,,,,
락토핏,2019-11-20,5854.460478911978,,,,,,
락토핏,2019-11-21,5355.323004381366,,,,,,
락토핏,2019-11-22,4794.833960824202,,,,,,
락토핏,2019-11-23,4572.302283004944,,,,,,
락토핏,2019-11-24,5854.460478911978,,,,,,
락토핏,2019-11-25,6011.479432620626,,,,,,
락토핏,2019-11-26,5924.131745956564,,,,,,
락토핏,2019-11-27,6691.55270703041,,,,,,
락토핏,2019-11-28,6363.994310777527,,,,,,
락토핏,2019-11-29,4940.414309314336,,,,,,
락토핏,2019-11-30,4723.08342231263,,,,,,
락토핏,2019-12-01,5679.762493433767,,,,,,
락토핏,2019-12-02,7254.123634204645,,,,,,
락토핏,2019-12-03,7617.037481846567,,,,,,
락토핏,2019-12-04,7188.610910094034,,,,,,
락토핏,2019-12-05,6291.20413653246,,,,,,
락토핏,2019-12-06,4711.644817094115,,,,,,
락토핏,2019-12-07,5117.191566259534,,,,,,
락토핏,2019-12-08,7444.418767835345,,,,,,
락토핏,2019-12-09,6473.18218429521,,,,,,
락토핏,2019-12-10,6032.27737159067,,,,,,
락토핏,2019-12-11,6203.856449868397,,,,,,
락토핏,2019-12-12,5771.268723031805,,,,,,
락토핏,2019-12-13,4755.317354351104,,,,,,
락토핏,2019-12-14,5273.173496384772,,,,,,
락토핏,2019-12-15,6793.460518263553,,,,,,
락토핏,2019-12-16,6065.553551512721,,,,,,
락토핏,2019-12-17,7013.912924615824,,,,,,
락토핏,2019-12-18,6058.273489228181,,,,,,
락토핏,2019-12-19,5859.658657579446,,,,,,
락토핏,2019-12-20,5370.920152533856,,,,,,
락토핏,2019-12-21,4377.845994290185,,,,,,
락토핏,2019-12-22,5288.770644537262,,,,,,
락토핏,2019-12-23,5971.965438297611,,,,,,
락토핏,2019-12-24,4797.952868024685,,,,,,
락토핏,2019-12-25,5271.094224917784,,,,,,
락토핏,2019-12-26,5758.790482079797,,,,,,
락토핏,2019-12-27,5448.911117596475,,,,,,
락토핏,2019-12-28,5058.958904433463,,,,,,
락토핏,2019-12-29,5032.962786795952,,,,,,
락토핏,2019-12-30,5075.598300469532,,,,,,
락토핏,2019-12-31,4483.912348457304,,,,,,
락토핏,2020-01-01,5857.579386112459,,,,,,
락토핏,2020-01-02,6040.597069608703,,,,,,
락토핏,2020-01-03,6289.1248650654725,,,,,,
락토핏,2020-01-04,6632.280409470846,,,,,,
락토핏,2020-01-05,6998.315776463334,,,,,,
락토핏,2020-01-06,7655.511840436088,,,,,,
락토핏,2020-01-07,7038.869406519842,,,,,,
락토핏,2020-01-08,6857.9336066406695,,,,,,
락토핏,2020-01-09,7738.700984166176,,,,,,
락토핏,2020-01-10,6064.513915779227,,,,,,
락토핏,2020-01-11,6474.221820028704,,,,,,
락토핏,2020-01-12,7091.903889678443,,,,,,
락토핏,2020-01-13,6968.158503741764,,,,,,
락토핏,2020-01-14,7098.141704079406,,,,,,
락토핏,2020-01-15,6716.509188934428,,,,,,
락토핏,2020-01-16,7300.917690812199,,,,,,
락토핏,2020-01-17,5755.671574879316,,,,,,
락토핏,2020-01-18,6787.222703862592,,,,,,
락토핏,2020-01-19,6793.460518263553,,,,,,
락토핏,2020-01-20,6778.903005844557,,,,,,
락토핏,2020-01-21,6518.936605169271,,,,,,
락토핏,2020-01-22,5149.428110448092,,,,,,
락토핏,2020-01-23,4692.92614959106,,,,,,
락토핏,2020-01-24,4190.669767859967,,,,,,
락토핏,2020-01-25,4950.813278799357,,,,,,
락토핏,2020-01-26,5332.445793944336,,,,,,
락토핏,2020-01-27,6775.784098644076,,,,,,
락토핏,2020-01-28,7731.420921881635,,,,,,
락토핏,2020-01-29,7353.949561820717,,,,,,
