feature,beta_scaled,beta_real
live_ad_spend_est,571964471.5478605,399.270203778113
search_ad_spend_est,923318306.505,1399.991761526456
competitor_event_flag,429519758.0943946,1243765335.801001
intercept,3526281222.2134676,1471759280.8518975
R2,,0.5452712858372258
RMSE,,1599778906.1886673
