brand,search_volume_relative,date,cpc_pred,search_volume_abs
비에날씬,0.21894,2019-04-10,93,57.19041394249208
비에날씬,0.19904,2019-04-11,93,51.992235275023404
비에날씬,0.11146,2019-04-12,93,29.11502483799291
비에날씬,0.11942,2019-04-13,93,31.19429630498038
비에날씬,0.07961,2019-04-14,93,20.79532681995887
비에날씬,0.22292,2019-04-15,93,58.23004967598582
비에날씬,0.21496,2019-04-16,93,56.150778208998354
비에날씬,0.12738,2019-04-17,93,33.27356777196785
비에날씬,0.71656,2019-04-18,93,187.1762264302189
비에날씬,0.23089,2019-04-19,93,60.31193329305745
비에날씬,0.207,2019-04-20,93,54.071506742010875
비에날씬,0.51751,2019-04-21,93,135.18137900511135
비에날씬,0.35031,2019-04-22,93,91.50622959803783
비에날씬,0.31847,2019-04-23,93,83.18914373008793
비에날씬,0.207,2019-04-24,93,54.071506742010875
비에날씬,0.21098,2019-04-25,93,55.111142475504614
비에날씬,0.19108,2019-04-26,93,49.91296380803593
비에날씬,0.09554,2019-04-27,93,24.956481904017966
비에날씬,0.14331,2019-04-28,93,37.43472285602695
비에날씬,0.34633,2019-04-29,93,90.4665938645441
비에날씬,0.19108,2019-04-30,93,49.91296380803593
비에날씬,0.24681,2019-05-01,93,64.47047622703239
비에날씬,0.18312,2019-05-02,93,47.83369234104846
비에날씬,0.13136,2019-05-03,93,34.31320350546159
비에날씬,0.15923,2019-05-04,93,41.593265790001894
비에날씬,0.12738,2019-05-05,93,33.27356777196785
비에날씬,0.14331,2019-05-06,93,37.43472285602695
비에날씬,0.13933,2019-05-07,93,36.39508712253322
비에날씬,0.62101,2019-05-08,93,162.21713237611678
비에날씬,0.24681,2019-05-09,93,64.47047622703239
비에날씬,0.17117,2019-05-10,93,44.7121729904831
비에날씬,0.90764,2019-05-11,93,237.08919023825484
비에날씬,0.16321,2019-05-12,93,42.632901523495626
비에날씬,1.23009,2019-05-13,93,321.3179697018365
비에날씬,1.80334,2019-05-14,93,471.0594732760284
비에날씬,0.59315,2019-05-15,93,154.93968224166062
비에날씬,0.87579,2019-05-16,93,228.7694922202208
비에날씬,0.37022,2019-05-17,93,96.70702041559066
비에날씬,0.26671,2019-05-18,93,69.66865489450106
비에날씬,0.27468,2019-05-19,93,71.75053851157269
비에날씬,0.2707,2019-05-20,93,70.71090277807896
비에날씬,0.67277,2019-05-21,93,175.73762121170364
비에날씬,0.46178,2019-05-22,93,120.6238665861149
비에날씬,0.34633,2019-05-23,93,90.4665938645441
비에날씬,0.21098,2019-05-24,93,55.111142475504614
비에날씬,0.17117,2019-05-25,93,44.7121729904831
비에날씬,0.42197,2019-05-26,93,110.22489710109338
비에날씬,0.18312,2019-05-27,93,47.83369234104846
비에날씬,0.24283,2019-05-28,93,63.430840493538646
