date,search_ad_spend_est,live_ad_spend_est,search_ad_spend_lag3,live_ad_spend_lag3,search_ad_spend_7d_sum,live_ad_spend_7d_sum,competitor_event_flag,competitor_event_flag_lag3,month,proxy_sales
2019-01-01,2997.7556795780933,0.0,0.0,0.0,2997.7556795780933,0.0,0.0,0.0,1,1353855.1524153063
2019-01-02,5899.068165899094,0.0,0.0,0.0,8896.823845477187,0.0,0.0,0.0,1,3046244.9457265884
2019-01-03,4931.964003792094,0.0,0.0,0.0,13828.787849269282,0.0,0.0,0.0,1,2482115.0146228285
2019-01-04,4158.232088114928,0.0,2997.7556795780933,0.0,17987.01993738421,0.0,0.0,0.0,1,2030782.728622959
2019-01-05,2901.0695563631757,0.0,5899.068165899094,0.0,20888.089493747386,0.0,0.0,0.0,1,1297456.32986336
2019-01-06,3191.127926007928,0.0,4931.964003792094,0.0,24079.217419755314,0.0,0.0,0.0,1,1466652.797519198
2019-01-07,3288.0569791806715,0.0,4158.232088114928,0.0,27367.274398935984,0.0,0.0,0.0,1,1523193.3256554457
2019-01-08,3868.173718470176,0.0,2901.0695563631757,0.0,28237.692437828067,0.0,0.0,0.0,1,1861586.2609671208
2019-01-09,3674.8014720403407,0.0,3191.127926007928,0.0,26013.425743969314,0.0,0.0,0.0,1,1748788.615863229
2019-01-10,62086.33811157309,0.0,3288.0569791806715,0.0,83167.79985175031,0.0,0.0,0.0,1,35821329.53879087
2019-01-11,6672.80008157626,0.0,3868.173718470176,0.0,85682.36784521164,0.0,0.0,0.0,1,3497577.231726458
2019-01-12,4351.8472645025895,0.0,3674.8014720403407,0.0,87133.14555335106,0.0,0.0,0.0,1,2143722.079311152
2019-01-13,33557.37265431113,0.0,62086.33811157309,0.0,117499.39028165425,0.0,0.0,0.0,1,19179850.83519067
2019-01-14,9380.497391509602,0.0,6672.80008157626,0.0,123591.83069398318,0.0,0.0,0.0,1,5077027.674349549
2019-01-15,10444.287676831518,0.0,4351.8472645025895,0.0,130167.94465234452,0.0,0.0,0.0,1,5697556.428005255
2019-01-16,9187.125145079766,0.0,33557.37265431113,0.0,135680.26832538395,0.0,0.0,0.0,1,4964230.029245658
2019-01-17,5609.009796254343,0.0,9380.497391509602,0.0,79202.9400100652,0.0,0.0,0.0,1,2877048.4780707518
2019-01-18,8800.380652220098,0.0,10444.287676831518,0.0,81330.52058070905,0.0,0.0,0.0,1,4738634.739037873
2019-01-19,3771.487595255259,0.0,9187.125145079766,0.0,80750.16091146172,0.0,0.0,0.0,1,1805187.4384151755
2019-01-20,3674.8014720403407,0.0,5609.009796254343,0.0,50867.58972919093,0.0,0.0,0.0,1,1748788.615863229
2019-01-21,4931.964003792094,0.0,8800.380652220098,0.0,46419.05634147342,0.0,0.0,0.0,1,2482115.0146228285
2019-01-22,6382.4987819736825,0.0,3771.487595255259,0.0,42357.26744661559,0.0,0.0,0.0,1,3328239.058486319
2019-01-23,5995.754289114013,0.0,3674.8014720403407,0.0,39165.89659064983,0.0,0.0,0.0,1,3102643.7682785355
2019-01-24,3384.743102395589,0.0,4931.964003792094,0.0,36941.62989679107,0.0,0.0,0.0,1,1579592.1482073914
2019-01-25,5222.022373436847,0.0,6382.4987819736825,0.0,33363.27161800783,0.0,0.0,0.0,1,2651311.482278666
2019-01-26,3481.4292256105064,0.0,5995.754289114013,0.0,33073.21324836308,0.0,0.0,0.0,1,1635990.970759337
2019-01-27,2707.6973099333404,0.0,3384.743102395589,0.0,32106.109086256074,0.0,0.0,0.0,1,1184658.684759468
2019-01-28,5028.650127007012,0.0,5222.022373436847,0.0,32202.79520947099,0.0,0.0,0.0,1,2538513.8371747746
2019-01-29,3481.4292256105064,0.0,3481.4292256105064,0.0,29301.725653107813,0.0,0.0,0.0,1,1635990.970759337
2019-01-30,2611.0111867184232,0.0,2707.6973099333404,0.0,25916.982550712226,0.0,0.0,0.0,1,1128259.8622075222
2019-01-31,3964.859841685093,0.0,5028.650127007012,0.0,26497.09929000173,0.0,0.0,0.0,1,1917985.083519067
2019-02-01,1643.9070246114222,0.0,3481.4292256105064,0.0,22918.983941176302,0.0,0.0,0.0,2,564129.9311037611
2019-02-02,1837.279271041257,0.0,2611.0111867184232,0.0,21274.833986607056,0.0,0.0,0.0,2,676927.5762076528
2019-02-03,1740.59314782634,0.0,3964.859841685093,0.0,20307.729824500057,0.0,0.0,0.0,2,620528.7536557071
2019-02-04,676.8028625044219,0.0,1643.9070246114222,0.0,15955.882559997464,0.0,0.0,0.0,2,0.0
2019-02-05,870.1751089342567,0.0,1837.279271041257,0.0,13344.628443321215,0.0,0.0,0.0,2,112797.64510389196
2019-02-06,1643.9070246114222,0.0,1740.59314782634,0.0,12377.524281214213,0.0,0.0,0.0,2,564129.9311037611
2019-02-07,3674.8014720403407,0.0,676.8028625044219,0.0,12087.465911569461,0.0,0.0,0.0,2,1748788.615863229
2019-02-08,4641.9056341473415,0.0,870.1751089342567,0.0,15085.46452110538,0.0,0.0,0.0,2,2312918.54696699
2019-02-09,17504.07518122527,0.0,1643.9070246114222,0.0,30752.260431289393,0.0,0.0,0.0,2,9815662.413387418
2019-02-10,5705.69591946926,0.0,3674.8014720403407,0.0,34717.36320293231,0.0,0.0,0.0,2,2933447.300622697
2019-02-11,7349.6029440806815,0.0,4641.9056341473415,0.0,41390.16328450858,0.0,0.0,0.0,2,3892368.989590079
2019-02-12,30172.629551915543,0.0,17504.07518122527,0.0,70692.61772748987,0.0,0.0,0.0,2,17205466.929119658
2019-02-13,12185.123754615684,0.0,5705.69591946926,0.0,81233.83445749411,0.0,0.0,0.0,2,6713018.645108886
2019-02-14,10154.229307186766,0.0,7349.6029440806815,0.0,87713.26229264056,0.0,0.0,0.0,2,5528359.960349417
2019-02-15,23886.816893156785,0.0,30172.629551915543,0.0,106958.17355164999,0.0,0.0,0.0,2,13538834.935321664
2019-02-16,9573.869637939437,0.0,12185.123754615684,0.0,99027.96800836416,0.0,0.0,0.0,2,5189825.319453441
2019-02-17,8316.707106187683,0.0,10154.229307186766,0.0,101638.97919508257,0.0,0.0,0.0,2,4456498.920693842
2019-02-18,8413.3932294026,0.0,23886.816893156785,0.0,102702.7694804045,0.0,0.0,0.0,2,4512897.743245787
2019-02-19,9573.869637939437,0.0,9573.869637939437,0.0,82104.00956642839,0.0,0.0,0.0,2,5189825.319453441
2019-02-20,6769.486204791178,0.0,8316.707106187683,0.0,76688.37201660388,0.0,0.0,0.0,2,3553976.0542784045
2019-02-21,5995.754289114013,0.0,8413.3932294026,0.0,72529.89699853113,0.0,0.0,0.0,2,3102643.7682785355
2019-02-22,5415.394619866681,0.0,9573.869637939437,0.0,54058.47472524103,0.0,0.0,0.0,2,2764109.127382558
2019-02-23,3384.743102395589,0.0,6769.486204791178,0.0,47869.34818969718,0.0,0.0,0.0,2,1579592.1482073914
2019-02-24,8897.066775435014,0.0,5995.754289114013,0.0,48449.707858944515,0.0,0.0,0.0,2,4795033.561589818
2019-02-25,6382.4987819736825,0.0,5415.394619866681,0.0,46418.8134115156,0.0,0.0,0.0,2,3328239.058486319
2019-02-26,4158.232088114928,0.0,3384.743102395589,0.0,41003.17586169109,0.0,0.0,0.0,2,2030782.728622959
2019-02-27,3771.487595255259,0.0,8897.066775435014,0.0,38005.17725215516,0.0,0.0,0.0,2,1805187.4384151755
2019-02-28,2804.383433148258,0.0,6382.4987819736825,0.0,34813.80639618941,0.0,0.0,0.0,2,1241057.507311414
2019-03-01,2127.3376406860093,0.0,4158.232088114928,0.0,31525.749417008738,0.0,0.0,0.0,3,846124.0438634906
2019-03-02,3191.127926007928,0.0,3771.487595255259,0.0,31332.13424062108,0.0,0.0,0.0,3,1466652.797519198
2019-03-03,3191.127926007928,0.0,2804.383433148258,0.0,25626.195391193993,0.0,0.0,0.0,3,1466652.797519198
2019-03-04,3771.487595255259,0.0,2127.3376406860093,0.0,23015.18420447557,0.0,0.0,0.0,3,1805187.4384151755
2019-03-05,4254.918211329847,0.0,3191.127926007928,0.0,23111.87032769049,0.0,0.0,0.0,3,2087181.5511749047
2019-03-06,3191.127926007928,0.0,3191.127926007928,0.0,22531.510658443156,0.0,0.0,0.0,3,1466652.797519198
2019-03-07,3191.127926007928,0.0,3771.487595255259,0.0,22918.255151302827,0.0,0.0,0.0,3,1466652.797519198
2019-03-08,13248.914039937605,0.0,4254.918211329847,0.0,34039.83155055442,0.0,0.0,0.0,3,7333547.398764593
2019-03-09,11121.333469293768,0.0,3191.127926007928,0.0,41970.03709384026,0.0,0.0,0.0,3,6092489.89145318
2019-03-10,6189.126535543846,0.0,3191.127926007928,0.0,44968.035703376176,0.0,0.0,0.0,3,3215441.413382427
2019-03-11,3481.4292256105064,0.0,13248.914039937605,0.0,44677.97733373143,0.0,0.0,0.0,3,1635990.970759337
2019-03-12,7059.54457443593,0.0,11121.333469293768,0.0,47482.60369683751,0.0,0.0,0.0,3,3723172.5219342425
2019-03-13,12378.496001045518,0.0,6189.126535543846,0.0,56669.971771875105,0.0,0.0,0.0,3,6825816.2902127765
2019-03-14,4158.232088114928,0.0,3481.4292256105064,0.0,57637.075933982094,0.0,0.0,0.0,3,2030782.728622959
2019-03-15,2804.383433148258,0.0,7059.54457443593,0.0,47192.545327192754,0.0,0.0,0.0,3,1241057.507311414
2019-03-16,2127.3376406860093,0.0,12378.496001045518,0.0,38198.549498584995,0.0,0.0,0.0,3,846124.0438634906
2019-03-17,1740.59314782634,0.0,4158.232088114928,0.0,33750.016110867495,0.0,0.0,0.0,3,620528.7536557071
