live_code,live_name,live_url,prod_codes
LL_024,✨종근당건강 라이브특가✨쿠폰+사은품 역대급혜택⚡,https://view.shoppinglive.naver.com/replays/1562674?fm=shoppinglive&sn=home,"LP_025,LP_026,LP_039,LP_001,LP_028,LP_008,LP_005,LP_009,LP_012,LP_029,LP_010,LP_023"
LL_025,종근당건강 락토핏x쇼핑Live💖,https://view.shoppinglive.naver.com/replays/1600025?fm=shoppinglive&sn=home,"LP_025,LP_026,LP_001,LP_028,LP_029,LP_036,LP_006,LP_017"
LL_026,종근당건강 추석선물대첩🎁도착보장🚛,https://view.shoppinglive.naver.com/replays/1089561?fm=shoppinglive&sn=home,"LP_006,LP_001,LP_002,LP_036,LP_005,LP_042,LP_018,LP_003,LP_044,LP_010,LP_012,LP_019,LP_099,LP_009,LP_023,LP_014,LP_021,LP_015,LP_020"
LL_027,종근당건강 🔥브랜드데이 ~51%🔥특선물 마지막찬스!,https://view.shoppinglive.naver.com/replays/1624741?fm=shoppinglive&sn=home,"LP_025,LP_026,LP_039,LP_009,LP_001,LP_008,LP_028,LP_027,LP_031,LP_032,LP_012,LP_029,LP_005,LP_010,LP_014,LP_030,LP_006,LP_017,LP_036,LP_100,LP_044,LP_042,LP_018,LP_037"
LL_028,종근당건강 가정의달 선물대첩🎁💖 N도착보장!🚛,https://view.shoppinglive.naver.com/replays/928831?fm=shoppinglive&sn=home,"LP_001,LP_006,LP_003,LP_005,LP_009,LP_002,LP_015,LP_021,LP_020,LP_012,LP_019,LP_010,LP_101,LP_079,LP_102,LP_036,LP_042,LP_044,LP_018,LP_103,LP_104"
LL_029,봄맞이 락토핏 슈퍼세일! 12%쿠폰+7%적립,https://view.shoppinglive.naver.com/replays/461897?fm=shoppinglive&sn=home,"LP_057,LP_034,LP_053,LP_074,LP_076,LP_054,LP_049,LP_046,LP_043,LP_042,LP_044,LP_018,LP_056,LP_055,LP_105,LP_092,LP_078,LP_045"
LL_030,종근당건강 360기획세트 론칭기념! 라이브 단독 추가증정🔥,https://view.shoppinglive.naver.com/replays/1630637?fm=shoppinglive&sn=home,"LP_025,LP_064,LP_026,LP_065,LP_001,LP_027,LP_009,LP_008,LP_028,LP_031,LP_032,LP_012,LP_029,LP_005,LP_010,LP_014,LP_030,LP_006,LP_017,LP_036,LP_100,LP_018,LP_044,LP_042,LP_037"
LL_031,"5월 가정의달, 건강선물 FESTA!",https://view.shoppinglive.naver.com/replays/117242?fm=shoppinglive&sn=home,"LP_106,LP_043,LP_042,LP_044,LP_045,LP_018,LP_093,LP_049"
LL_032,종근당건강 올해 마지막💥라이브특가💥,https://view.shoppinglive.naver.com/replays/1183615?fm=shoppinglive&sn=home,"LP_001,LP_007,LP_002,LP_028,LP_003,LP_004,LP_005,LP_009,LP_010,LP_012,LP_019,LP_014,LP_084"
LL_033,종근당건강 가정의 달 특선물! ~51% LIVE🎁,https://view.shoppinglive.naver.com/replays/1603636?fm=shoppinglive&sn=home,
LL_034,종근당건강 추석맞이 역대급 라이브 특가💥,https://view.shoppinglive.naver.com/replays/1732092?fm=shoppinglive&sn=home,"LP_006,LP_025,LP_037,LP_039,LP_036,LP_064,LP_042,LP_065,LP_027,LP_009,LP_017,LP_026,LP_044,LP_010,LP_107,LP_100,LP_013,LP_005,LP_108,LP_109,LP_020,LP_021,LP_029,LP_001,LP_024,LP_086,LP_030,LP_079,LP_018"
LL_035,"종근당건강, 17일 단 1시간! 다신 없을 반값 혜택!",https://view.shoppinglive.naver.com/replays/586933?fm=shoppinglive&sn=home,"LP_057,LP_058,LP_073,LP_075,LP_034,LP_068,LP_049,LP_053,LP_067"
