live_code,date,start_time,end_time,duration_min,viewer_count,promotion_flag,promotion_text,prod_codes_x,prod_codes_y
LL_007,2025-09-23,10:58:41,12:00:24,61,12003,1,실시간 구매인증 이벤트 / 구매인증 / SK주유권 3만원권,"LP_006,LP_025,LP_037,LP_039,LP_036,LP_064,LP_042,LP_065,LP_027,LP_009,LP_017,LP_026,LP_044,LP_010,LP_107,LP_100,LP_013,LP_005,LP_108,LP_109,LP_020,LP_021,LP_029,LP_001,LP_024,LP_086,LP_030,LP_079,LP_018","LP_006,LP_025,LP_037,LP_039,LP_036,LP_064,LP_042,LP_065,LP_027,LP_009,LP_017,LP_026,LP_044,LP_010,LP_107,LP_100,LP_013,LP_005,LP_108,LP_109,LP_020,LP_021,LP_029,LP_001,LP_024,LP_086,LP_030,LP_079,LP_018"
LL_064,2025-09-12,11:00:17,13:01:23,121,458329,1,실시간 구매인증 이벤트 / 구매인증 / SK주유권 3만원권,"LP_025,LP_064,LP_009,LP_039,LP_006,LP_036,LP_017,LP_037,LP_042,LP_044,LP_100,LP_018,LP_026,LP_013,LP_108,LP_109,LP_086,LP_065,LP_027,LP_001,LP_028,LP_008,LP_031,LP_029,LP_005,LP_014,LP_021,LP_022,LP_024,LP_020","LP_025,LP_064,LP_009,LP_039,LP_006,LP_036,LP_017,LP_037,LP_042,LP_044,LP_100,LP_018,LP_026,LP_013,LP_108,LP_109,LP_086,LP_065,LP_027,LP_001,LP_028,LP_008,LP_031,LP_029,LP_005,LP_014,LP_021,LP_022,LP_024,LP_020"
LL_060,2025-08-07,10:59:50,12:00:26,60,457219,1,실시간 구매인증 이벤트 / 구매인증 / 락토핏 골드 선물세트,"LP_025,LP_064,LP_026,LP_009,LP_039,LP_108,LP_109,LP_013,LP_086,LP_065,LP_027,LP_001,LP_028,LP_008,LP_031,LP_029,LP_005,LP_014,LP_021,LP_022,LP_024,LP_020","LP_025,LP_064,LP_026,LP_009,LP_039,LP_108,LP_109,LP_013,LP_086,LP_065,LP_027,LP_001,LP_028,LP_008,LP_031,LP_029,LP_005,LP_014,LP_021,LP_022,LP_024,LP_020"
LL_017,2025-07-30,10:59:32,12:00:55,61,456694,1,실시간 구매인증 이벤트 / 구매인증 / 아임비타 이뮨샷 선물세트(20입) 증정!,"LP_025,LP_064,LP_009,LP_039,LP_108,LP_109,LP_026,LP_065,LP_027,LP_001,LP_028,LP_008,LP_031,LP_032,LP_029,LP_005,LP_014,LP_021,LP_022,LP_024,LP_086,LP_020,LP_013","LP_025,LP_064,LP_009,LP_039,LP_108,LP_109,LP_026,LP_065,LP_027,LP_001,LP_028,LP_008,LP_031,LP_032,LP_029,LP_005,LP_014,LP_021,LP_022,LP_024,LP_086,LP_020,LP_013"
LL_052,2025-06-11,10:59:51,12:01:54,62,515743,1,실시간 구매인증 이벤트 / 구매인증 / 구매상품 한번 더 증정!,"LP_025,LP_064,LP_026,LP_065,LP_027,LP_001,LP_009,LP_008,LP_028,LP_031,LP_032,LP_029,LP_005,LP_010,LP_014,LP_030,LP_019,LP_021,LP_022,LP_066","LP_025,LP_064,LP_026,LP_065,LP_027,LP_001,LP_009,LP_008,LP_028,LP_031,LP_032,LP_029,LP_005,LP_010,LP_014,LP_030,LP_019,LP_021,LP_022,LP_066"
LL_062,2025-05-27,10:58:11,12:01:23,63,267382,1,실시간 구매인증 이벤트 / 구매인증 / 네이버 적립 포인트 1만원+1만원 할인쿠폰,"LP_025,LP_064,LP_026,LP_065,LP_027,LP_001,LP_028,LP_009,LP_010,LP_005,LP_029,LP_083,LP_037,LP_032,LP_012,LP_030,LP_023,LP_112","LP_025,LP_064,LP_026,LP_065,LP_027,LP_001,LP_028,LP_009,LP_010,LP_005,LP_029,LP_083,LP_037,LP_032,LP_012,LP_030,LP_023,LP_112"
LL_021,2025-05-15,11:00:34,12:02:05,61,272835,1,"실시간 구매인증 이벤트 / 구매인증 / 두산베어스 야구티켓(테이블석, 8월중 일정랜덤)","LP_025,LP_064,LP_026,LP_065,LP_001,LP_027,LP_009,LP_008,LP_028,LP_031,LP_032,LP_012,LP_029,LP_005,LP_010,LP_014,LP_030,LP_006,LP_017,LP_036,LP_100,LP_018,LP_044,LP_042,LP_037","LP_025,LP_064,LP_026,LP_065,LP_001,LP_027,LP_009,LP_008,LP_028,LP_031,LP_032,LP_012,LP_029,LP_005,LP_010,LP_014,LP_030,LP_006,LP_017,LP_036,LP_100,LP_018,LP_044,LP_042,LP_037"
LL_056,2025-05-08,11:00:14,12:01:22,61,267874,1,실시간 구매인증 이벤트 / 구매인증 / 주유권 5만원,"LP_025,LP_026,LP_039,LP_009,LP_001,LP_008,LP_028,LP_027,LP_031,LP_032,LP_012,LP_029,LP_005,LP_010,LP_014,LP_030,LP_006,LP_017,LP_036,LP_100,LP_044,LP_042,LP_018,LP_037","LP_025,LP_026,LP_039,LP_009,LP_001,LP_008,LP_028,LP_027,LP_031,LP_032,LP_012,LP_029,LP_005,LP_010,LP_014,LP_030,LP_006,LP_017,LP_036,LP_100,LP_044,LP_042,LP_018,LP_037"
LL_034,2025-04-30,10:58:44,12:01:26,62,35970,1,실시간 구매인증 이벤트 / 구매인증 / 락토핏 골드 선물세트,,"LP_032,LP_001,LP_031,LP_030,LP_008,LP_009,LP_033,LP_007,LP_011,LP_079,LP_034,LP_037,LP_060,LP_065,LP_062,LP_067,LP_051,LP_059,LP_049,LP_106,LP_061"
LL_050,2025-04-16,10:59:22,12:01:40,62,10923,1,실시간 구매인증 이벤트 / 구매인증 / 네이버 적립 포인트 1만원,"LP_001,LP_039,LP_009,LP_025,LP_026,LP_027,LP_008,LP_028,LP_031,LP_032,LP_012,LP_029,LP_005,LP_010,LP_014,LP_030","LP_001,LP_039,LP_009,LP_025,LP_026,LP_027,LP_008,LP_028,LP_031,LP_032,LP_012,LP_029,LP_005,LP_010,LP_014,LP_030"
LL_045,2025-04-09,10:59:26,12:12:00,72,8684,1,실시간 구매인증 이벤트 / 구매인증 / 네이버 적립 포인트 1만원+1만원 할인쿠폰,"LP_025,LP_026,LP_027,LP_009,LP_005,LP_001,LP_028,LP_029,LP_012,LP_010,LP_030,LP_023,LP_031,LP_032","LP_025,LP_026,LP_027,LP_009,LP_005,LP_001,LP_028,LP_029,LP_012,LP_010,LP_030,LP_023,LP_031,LP_032"
LL_053,2025-03-28,11:00:07,12:02:00,61,277617,1,실시간 구매인증 이벤트 / 구매인증 / N페이 1만원,"LP_025,LP_026,LP_001,LP_028,LP_029,LP_036,LP_006,LP_017","LP_025,LP_026,LP_001,LP_028,LP_029,LP_036,LP_006,LP_017"
LL_014,2025-03-24,9:59:52,11:01:28,61,291320,1,실시간 구매인증 이벤트 / 구매인증 / 네이버 적립 포인트 1만원,"LP_001,LP_027,LP_009,LP_026,LP_039,LP_025,LP_005,LP_008,LP_028,LP_012,LP_029,LP_010,LP_011,LP_031,LP_032,LP_023,LP_030,LP_083","LP_001,LP_027,LP_009,LP_026,LP_039,LP_025,LP_005,LP_008,LP_028,LP_012,LP_029,LP_010,LP_011,LP_031,LP_032,LP_023,LP_030,LP_083"
LL_016,2025-03-12,9:00:13,10:11:21,71,295162,1,실시간 구매인증 이벤트 / 구매인증 / 락토핏 당케어 선물세트,,"LP_001,LP_010,LP_007,LP_037,LP_031,LP_032,LP_033,LP_008,LP_011,LP_030,LP_034,LP_009,LP_039,LP_013"
LL_003,2025-03-05,10:59:35,12:01:11,61,13682,1,실시간 구매인증 이벤트 / 구매인증 / 네이버 적립 포인트 1만원,"LP_001,LP_039,LP_026,LP_025,LP_005,LP_008,LP_028,LP_009,LP_012,LP_029,LP_010,LP_023,LP_030,LP_027,LP_083,LP_031,LP_011","LP_001,LP_039,LP_026,LP_025,LP_005,LP_008,LP_028,LP_009,LP_012,LP_029,LP_010,LP_023,LP_030,LP_027,LP_083,LP_031,LP_011"
LL_071,2025-02-18,10:59:38,12:02:27,62,302312,1,실시간 구매인증 이벤트 / 구매인증 / 네이버 적립 포인트 1만원,"LP_025,LP_026,LP_039,LP_001,LP_028,LP_008,LP_005,LP_009,LP_012,LP_029,LP_010,LP_023","LP_025,LP_026,LP_039,LP_001,LP_028,LP_008,LP_005,LP_009,LP_012,LP_029,LP_010,LP_023"
LL_012,2025-02-05,11:00:00,12:01:52,61,326256,1,실시간 구매인증 이벤트 / 구매인증 / 락토핏 골드 선물세트,"LP_001,LP_026,LP_025,LP_028,LP_039,LP_005,LP_009,LP_008,LP_012,LP_029,LP_010,LP_031","LP_001,LP_026,LP_025,LP_028,LP_039,LP_005,LP_009,LP_008,LP_012,LP_029,LP_010,LP_031"
LL_044,2025-01-20,11:01:41,12:02:59,61,361802,1,실시간 구매인증 이벤트 / 구매인증 / 네이버 적립 포인트 3만원,"LP_006,LP_025,LP_026,LP_035,LP_001,LP_036,LP_028,LP_037,LP_038,LP_039,LP_040,LP_041,LP_005,LP_042,LP_018","LP_006,LP_025,LP_026,LP_035,LP_001,LP_036,LP_028,LP_037,LP_038,LP_039,LP_040,LP_041,LP_005,LP_042,LP_018"
LL_031,2024-10-28,9:59:26,11:01:03,61,32983,1,실시간 구매인증 이벤트 / 구매인증 / 네이버 적립 포인트 2만원,"LP_001,LP_004,LP_003,LP_005,LP_002,LP_009,LP_008,LP_006,LP_011,LP_007,LP_010,LP_012,LP_013,LP_014,LP_015,LP_016,LP_018,LP_019,LP_020,LP_021,LP_022,LP_023,LP_024","LP_001,LP_004,LP_003,LP_005,LP_002,LP_009,LP_008,LP_006,LP_011,LP_007,LP_010,LP_012,LP_013,LP_014,LP_015,LP_016,LP_018,LP_019,LP_020,LP_021,LP_022,LP_023,LP_024"
LL_040,2024-10-11,9:59:45,11:06:03,66,316350,1,실시간 구매인증 이벤트 / 구매인증 / 네이버 적립 포인트 2만원,"LP_001,LP_002,LP_003,LP_004,LP_005,LP_006,LP_007,LP_008,LP_009,LP_010,LP_011,LP_012,LP_013,LP_014,LP_015,LP_016,LP_017,LP_018","LP_001,LP_002,LP_003,LP_004,LP_005,LP_006,LP_007,LP_008,LP_009,LP_010,LP_011,LP_012,LP_013,LP_014,LP_015,LP_016,LP_017,LP_018"
LL_059,2024-09-10,8:59:41,10:00:47,61,333650,1,실시간 구매인증 이벤트 / 구매인증 / 네이버 적립 포인트 3만원,"LP_006,LP_003,LP_005,LP_001,LP_009,LP_002,LP_011,LP_004,LP_007,LP_008,LP_010,LP_012,LP_013,LP_014,LP_015,LP_016,LP_042,LP_017,LP_018,LP_044","LP_006,LP_003,LP_005,LP_001,LP_009,LP_002,LP_011,LP_004,LP_007,LP_008,LP_010,LP_012,LP_013,LP_014,LP_015,LP_016,LP_042,LP_017,LP_018,LP_044"
LL_026,2024-08-27,19:59:50,21:01:30,61,531284,1,실시간 구매인증 이벤트 / 구매인증 / 네이버 적립 포인트 3만원,"LP_006,LP_003,LP_001,LP_009,LP_002,LP_005,LP_011,LP_004,LP_007,LP_008,LP_010,LP_012,LP_013,LP_014,LP_015,LP_020,LP_016,LP_036,LP_042,LP_017,LP_018,LP_044,LP_111","LP_006,LP_003,LP_001,LP_009,LP_002,LP_005,LP_011,LP_004,LP_007,LP_008,LP_010,LP_012,LP_013,LP_014,LP_015,LP_020,LP_016,LP_036,LP_042,LP_017,LP_018,LP_044,LP_111"
LL_001,2024-07-26,9:59:21,11:10:33,71,450247,1,실시간 구매인증 이벤트 / 구매인증 / 네이버 적립 포인트 3만원,"LP_001,LP_011,LP_003,LP_004,LP_007,LP_002,LP_008,LP_005,LP_010,LP_009,LP_012,LP_013,LP_014,LP_138,LP_015,LP_020,LP_021,LP_022,LP_086,LP_024,LP_016","LP_001,LP_011,LP_003,LP_004,LP_007,LP_002,LP_008,LP_005,LP_010,LP_009,LP_012,LP_013,LP_014,LP_138,LP_015,LP_020,LP_021,LP_022,LP_086,LP_024,LP_016"
LL_051,2024-06-21,20:00:20,21:11:21,71,507616,1,실시간 구매인증 이벤트 / 구매인증 / 네이버 적립 포인트 2만원,"LP_001,LP_007,LP_002,LP_008,LP_005,LP_010,LP_009,LP_003,LP_012,LP_013,LP_014","LP_001,LP_007,LP_002,LP_008,LP_005,LP_010,LP_009,LP_003,LP_012,LP_013,LP_014"
LL_028,2024-05-14,10:00:21,11:11:40,71,329035,1,실시간 구매인증 이벤트 / 구매인증+주문번호 실시간 댓글 창에 남겨주세요! / 네이버 적립 포인트 2만원,"LP_001,LP_004,LP_008,LP_007,LP_002,LP_096,LP_003,LP_005,LP_024,LP_014,LP_098,LP_012,LP_010,LP_009,LP_013","LP_001,LP_004,LP_008,LP_007,LP_002,LP_096,LP_003,LP_005,LP_024,LP_014,LP_098,LP_012,LP_010,LP_009,LP_013"
LL_074,2024-04-23,20:00:09,21:11:45,71,417188,1,실시간 구매인증 이벤트 / 구매인증+주문번호 실시간 댓글 창에 남겨주세요! / 네이버 적립 포인트 1만원,"LP_006,LP_003,LP_005,LP_001,LP_007,LP_004,LP_038,LP_096,LP_002,LP_036,LP_013,LP_111,LP_018,LP_042,LP_009,LP_044,LP_010,LP_012,LP_019,LP_015,LP_020,LP_014,LP_024,LP_086,LP_098","LP_006,LP_003,LP_005,LP_001,LP_007,LP_004,LP_038,LP_096,LP_002,LP_036,LP_013,LP_111,LP_018,LP_042,LP_009,LP_044,LP_010,LP_012,LP_019,LP_015,LP_020,LP_014,LP_024,LP_086,LP_098"
LL_038,2024-04-03,10:00:13,11:12:00,71,262119,1,실시간 구매인증 이벤트 / 구매인증+주문번호 실시간 댓글 창에 남겨주세요! / 네이버 적립 포인트 1만원,"LP_001,LP_003,LP_005,LP_096,LP_004,LP_002,LP_097,LP_007,LP_010,LP_009,LP_012,LP_014,LP_086,LP_015,LP_020,LP_098","LP_001,LP_003,LP_005,LP_096,LP_004,LP_002,LP_097,LP_007,LP_010,LP_009,LP_012,LP_014,LP_086,LP_015,LP_020,LP_098"
LL_024,2024-03-07,20:00:14,21:11:35,71,298454,1,실시간 구매인증 이벤트 / 구매인증+주문번호 실시간 댓글 창에 남겨주세요! / 네이버 적립 포인트 1만원,"LP_001,LP_003,LP_005,LP_007,LP_004,LP_085,LP_002,LP_010,LP_009,LP_012,LP_014,LP_086","LP_001,LP_003,LP_005,LP_007,LP_004,LP_085,LP_002,LP_010,LP_009,LP_012,LP_014,LP_086"
LL_037,2024-02-01,12:00:12,13:13:25,73,294305,1,실시간 구매인증 이벤트 / 구매인증+주문번호 실시간 댓글 창에 남겨주세요! / 네이버 적립 포인트 1만원,"LP_006,LP_003,LP_018,LP_001,LP_007,LP_005,LP_042,LP_004,LP_002,LP_036,LP_010,LP_044,LP_009,LP_012,LP_014,LP_086","LP_006,LP_003,LP_018,LP_001,LP_007,LP_005,LP_042,LP_004,LP_002,LP_036,LP_010,LP_044,LP_009,LP_012,LP_014,LP_086"
LL_061,2024-01-04,20:00:13,21:10:55,70,313625,1,실시간 구매인증 이벤트 / 구매인증+주문번호 실시간 댓글 창에 남겨주세요! / 네이버 적립 포인트 1만원,"LP_001,LP_005,LP_003,LP_007,LP_004,LP_002,LP_028,LP_010,LP_009,LP_014,LP_086","LP_001,LP_005,LP_003,LP_007,LP_004,LP_002,LP_028,LP_010,LP_009,LP_014,LP_086"
LL_058,2023-12-05,20:00:11,21:12:00,71,323737,1,실시간 구매인증 이벤트 / 구매인증+주문번호 실시간 댓글 창에 남겨주세요! / 네이버 적립 포인트 3만원,"LP_001,LP_007,LP_002,LP_028,LP_003,LP_004,LP_005,LP_009,LP_010,LP_012,LP_019,LP_014,LP_084","LP_001,LP_007,LP_002,LP_028,LP_003,LP_004,LP_005,LP_009,LP_010,LP_012,LP_019,LP_014,LP_084"
LL_041,2023-11-01,20:00:01,21:11:25,71,431544,1,실시간 구매인증 이벤트 / 구매인증+주문번호 실시간 댓글 창에 남겨주세요! / 네이버 적립 포인트 3만원,"LP_001,LP_007,LP_005,LP_002,LP_003,LP_004,LP_009,LP_010,LP_012,LP_019,LP_014,LP_084","LP_001,LP_007,LP_005,LP_002,LP_003,LP_004,LP_009,LP_010,LP_012,LP_019,LP_014,LP_084"
